Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Year
Jainath,Bahujan Mukti Party,0,10th Pass,33,3295482,DARBHANGA,0,0,M,2014
Kedar Kumar Keshav,SHS,0,Post Graduate,46,8366241,DARBHANGA,0,0,M,2014
Krishna Kumar Paswan,IND,0,Graduate,29,22000,DARBHANGA,0,0,M,2014
Md. Ali Ashraf Fatmi,RJD,0,Post Graduate,60,16036505,DARBHANGA,0,0,M,2014
Prabhat Ranjan Das,AAP,0,Doctorate,56,364642463,DARBHANGA,0,0,M,2014
Pradeep Paswan,IND,1,12th Pass,38,392707,DARBHANGA,0,0,M,2014
Praveen Kumar Jha,IND,0,Post Graduate,41,11558930,DARBHANGA,0,0,M,2014
"Sadre Alam Khan,",Akhil Bhartiya Mithila Party,0,10th Pass,65,1726698,DARBHANGA,0,0,M,2014
Sanjay Kumar Jha,JD(U),0,Post Graduate,46,181383957,DARBHANGA,0,0,M,2014
Hari Manjhi,BJP,1,8th Pass,51,10184120,GAYA,2000000,0,M,2014
Ashok Kumar,JMM,0,Post Graduate,0,1843000,GAYA,0,0,M,2014
Bhuneswar Das,Rashtriya Ahinsa Manch,0,Literate,50,1829000,GAYA,0,0,M,2014
Dev Kumar Choudhary,IND,0,Graduate Professional,39,5087170,GAYA,800000,0,M,2014
Dhananjay Kishore,AAP,0,Graduate Professional,38,6509560,GAYA,6102,0,M,2014
Indra Deo Choudhary,Bahujan Mukti Party,0,10th Pass,40,507000,GAYA,10000,0,M,2014
Jitan Ram Manjhi,JD(U),0,Graduate,68,2360142,GAYA,13109,0,M,2014
Kapil Choudhary,AITC,0,12th Pass,44,1606000,GAYA,0,0,M,2014
Mamta Kumari,SP,0,12th Pass,33,4195976,GAYA,5454,0,M,2014
Niranjan Kumar,CPI(ML)L,2,Graduate,40,140000,GAYA,1384,0,M,2014
Ramji Manjhi,RJD,0,Graduate,54,11115000,GAYA,0,0,M,2014
Shiv Kumar Kant,BSP,0,Graduate,64,5232500,GAYA,200000,0,M,2014
Shiv Shankar Kumar,Bharat Bhrashtachar Mitao Party,0,Graduate,38,1067800,GAYA,0,0,M,2014
Janak Ram,BJP,2,Post Graduate,42,10582664,GOPALGANJ,1039000,0,M,2014
Anil Kumar,JD(U),0,Graduate,46,11618500,GOPALGANJ,0,0,M,2014
Chandra Deep Ram,BSP,1,Post Graduate,30,9220000,GOPALGANJ,0,0,M,2014
Dinanath Manjhi,IND,1,Graduate,0,2377269,GOPALGANJ,0,0,M,2014
Dr Jyoti Bharti,INC,3,Doctorate,58,16250000,GOPALGANJ,0,0,M,2014
Jaleswarnath Ram,Bahujan Mukti Party,0,12th Pass,47,2665022,GOPALGANJ,0,0,M,2014
Jitendra Manjhi,CPI(ML)L,4,8th Pass,30,520000,GOPALGANJ,45348,0,M,2014
Mudrika Baita,IND,0,Graduate,42,537500,GOPALGANJ,0,0,M,2014
Ram Kumar Manjhi,IND,0,Graduate,34,198000,GOPALGANJ,0,0,M,2014
Ramashankar Ram,Rashtriya Jan-Jagram Morcha,0,Graduate Professional,48,2910000,GOPALGANJ,0,0,M,2014
Satendra Baitha,IND,0,10th Pass,35,696174,GOPALGANJ,0,0,M,2014
Sunita Kumar,SP,0,Graduate,46,28013750,GOPALGANJ,2500000,0,M,2014
Surendra Paswan,Rashtriya Bahujan Congress Party,0,Post Graduate,33,3540000,GOPALGANJ,200000,0,M,2014
Surendra Ram,Bharatiya Ekta Dal,0,Literate,46,1160000,GOPALGANJ,25000,0,M,2014
Ram Vilas Paswan,LJP,2,Post Graduate,67,9642023,HAJIPUR,0,0,M,2014
Dhaneshwar Ram,BSP,0,Graduate,67,7066500,HAJIPUR,0,0,M,2014
Dinanath Ram,IND,0,10th Pass,43,72000,HAJIPUR,0,0,M,2014
Raj Kumar Paswan,AAP,0,12th Pass,27,840248,HAJIPUR,0,0,M,2014
Ram Sundar Das,JD(U),0,10th Pass,93,6748748,HAJIPUR,1116705,0,M,2014
Randhir Kumar Ram,Bajjikanchal Vikas Party,0,Graduate,32,502500,HAJIPUR,40000,0,M,2014
Rina Ragni,Bahujan Mukti Party,0,Graduate,37,1643000,HAJIPUR,1600000,0,M,2014
Sanjeev Prasad Toni,INC,2,10th Pass,57,75279297,HAJIPUR,0,0,M,2014
Satya Narayan Paswan,AIFB,1,5th Pass,48,,HAJIPUR,0,0,M,2014
Suresha Paswan,IND,0,10th Pass,48,138834,HAJIPUR,0,0,M,2014
Ujjawal Kant Hunkar,Bharatiya Momin Front,0,Graduate,49,105000,HAJIPUR,0,0,M,2014
Upendra Ram,IND,0,12th Pass,41,256500,HAJIPUR,0,0,M,2014
Veerchandra Paswan,SP,2,Post Graduate,50,20627777,HAJIPUR,101383,0,M,2014
Vidhanchandra Rana,Samajwadi Janata Party (Rashtriya),0,Graduate,38,430000,HAJIPUR,0,0,M,2014
Vifiya Devi Urf Vikiya Devi,IND,0,Literate,30,138000,HAJIPUR,0,0,M,2014
Dr. Arun Kumar,Rashtriya Lok Samta Party,1,Doctorate,55,38846631,JAHANABAD,1000000,0,M,2014
Anil Kumar Sharma,JD(U),1,Doctorate,50,8498803720,JAHANABAD,1095393904,0,M,2014
Arjun Thakur,IND,0,Post Graduate,52,1212500,JAHANABAD,0,0,M,2014
Chandrabhushan Sharma,AAP,0,Doctorate,64,7877980,JAHANABAD,0,0,M,2014
Mananjay Kumar,IND,0,Graduate,31,3527000,JAHANABAD,0,0,M,2014
Manju Devi,Krantikari Vikas Dal,1,Literate,51,1110000,JAHANABAD,0,0,M,2014
Md. Istiyak,AITC,2,Graduate Professional,49,9481904,JAHANABAD,0,0,M,2014
Narendar Kumar,SHS,0,Graduate,34,311800,JAHANABAD,0,0,M,2014
Nityanand Singh,IND,2,Literate,39,1392245,JAHANABAD,2000000,0,M,2014
Prashuram Bind,Bahujan Mukti Party,0,Graduate,72,2636206,JAHANABAD,0,0,M,2014
Rahul Ranjan,JMM,0,Graduate,27,3431000,JAHANABAD,0,0,M,2014
Ramadhar Chaudhary,CPI(ML)L,3,10th Pass,58,577037,JAHANABAD,0,0,M,2014
Ravindra Kumar,BSP,1,Graduate,40,1252000,JAHANABAD,0,0,M,2014
Suday Yadav,IND,0,10th Pass,26,4495000,JAHANABAD,0,0,M,2014
Surendra Prasad Yadav,RJD,3,Not Given,56,49462901,JAHANABAD,1022720,0,M,2014
Chirag Kumar Paswan,LJP,0,12th Pass,32,10414470,JAMUI,4458954,0,M,2014
Binod Kumar Das,AAP,1,12th Pass,34,252600,JAMUI,0,0,M,2014
Brahmadav Anand Paswan,BSP,0,12th Pass,58,9493973,JAMUI,175000,0,M,2014
Dilip Paswan,IND,0,10th Pass,30,1531232,JAMUI,0,0,M,2014
Jai Prakash Das,CPI(ML)L,0,8th Pass,61,143450,JAMUI,0,0,M,2014
Manoj Kumar Manjhi,IND,0,12th Pass,32,121000,JAMUI,150000,0,M,2014
Subhash Paswan,IND,0,Not Given,45,163000,JAMUI,0,0,M,2014
Sudhansu Shekhar Bhaskar,RJD,0,Doctorate,46,13950638,JAMUI,1206926,0,M,2014
Uday Narain Choudhary,JD(U),0,Graduate,61,9827813,JAMUI,0,0,M,2014
Upendra Ravidas,JMM,0,10th Pass,35,421280000,JAMUI,0,0,M,2014
Vishun Chaudhary,SHS,0,8th Pass,56,190000,JAMUI,0,0,M,2014
Birendra Kumar Chaudhary,BJP,0,Post Graduate,60,5158792,JHANJHARPUR,0,0,M,2014
Akthaar Ali,Jai Prakash Janata Dal,0,Graduate,44,116600,JHANJHARPUR,0,0,M,2014
Awdhesh Kumar Shingh,IND,0,Graduate,46,1280000,JHANJHARPUR,134,0,M,2014
Barun Kumar Jha,IND,0,Graduate Professional,52,48626946,JHANJHARPUR,0,0,M,2014
Bighnesh Bhagat,Bahujan Mukti Party,0,Graduate,41,2092390,JHANJHARPUR,0,0,M,2014
Bipin Kumar Jha,Bharat Vikas Morcha,0,Graduate,35,4051668,JHANJHARPUR,300000,0,M,2014
Chandramohan Jha,IND,3,Doctorate,59,138813648,JHANJHARPUR,51588,0,M,2014
Chhedi Ram,IND,0,Literate,35,17707,JHANJHARPUR,0,0,M,2014
Davendra Prasad Yadav,JD(U),0,Graduate,58,7941707,JHANJHARPUR,600000,0,M,2014
Dr. Binay Kumar Jha,IND,0,Graduate Professional,56,664000,JHANJHARPUR,15000,0,M,2014
Haidar,VANCHITSAMAJ INSAAF PARTY,3,Others,49,640000,JHANJHARPUR,0,0,M,2014
Ibrahim Abbasi,IND,0,5th Pass,36,555764,JHANJHARPUR,0,0,M,2014
Janak Roy,IND,0,Literate,71,75000,JHANJHARPUR,0,0,M,2014
Mangni Lal Mandal,RJD,3,Post Graduate,65,76950805,JHANJHARPUR,1654819,0,M,2014
Manilal Sahu,BSP,0,5th Pass,69,3001000,JHANJHARPUR,0,0,M,2014
Md. Faiyaz Khan,Janta Dal Rashtravadi,0,Post Graduate,45,26805000,JHANJHARPUR,0,0,M,2014
Pawan Kumar,IND,0,Graduate,37,5165500,JHANJHARPUR,0,0,M,2014
Ram Chandra Safi,IND,0,10th Pass,47,475666,JHANJHARPUR,44100,0,M,2014
Tiliya Devi,AAP,1,Literate,66,301462,JHANJHARPUR,25000,0,M,2014
Upendra Kushwaha,Rashtriya Lok Samta Party,4,Post Graduate,51,24829741,KARAKAT,823834,0,M,2014
Bhairaw Dayal Singh,IND,0,Post Graduate,70,16847000,KARAKAT,0,0,M,2014
Dinesh Kumar,Bahujan Mukti Party,1,Doctorate,34,478500,KARAKAT,0,0,M,2014
Ghulam Kundanam,AAP,1,Graduate Professional,43,623000,KARAKAT,280800,0,M,2014
Imran Ali,IND,0,Graduate,27,7845,KARAKAT,0,0,M,2014
Kanti Singh,RJD,4,Graduate,59,60390021,KARAKAT,337826,0,M,2014
Mahabali Singh,JD(U),5,8th Pass,59,33437255,KARAKAT,0,0,M,2014
Md. Dilbas Ansari,IND,0,Post Graduate,62,70000,KARAKAT,0,0,M,2014
Pradeep Kumar Joshi,Rashtra Sewa Dal,21,12th Pass,45,11721162,KARAKAT,11908841,0,M,2014
Raja Ram Singh,CPI(ML)L,4,Graduate Professional,58,6796970,KARAKAT,0,0,M,2014
Rajani Dubey,Akhil Bharatiya Jan Sangh,0,Graduate,41,8324677,KARAKAT,0,0,M,2014
Ram Dayal Singh,IND,0,Graduate,59,3256600,KARAKAT,0,0,M,2014
Sanjay Kewat,BSP,0,Graduate,29,1997000,KARAKAT,0,0,M,2014
Satya Narayan Singh,IND,0,Graduate,51,19450824,KARAKAT,2396194,0,M,2014
Veena Bharti,Janvadi Party(Socialist),0,8th Pass,38,729000,KARAKAT,0,0,M,2014
Shah Tariq Anwar,NCP,1,Graduate,63,104600951,KATIHAR,20454853,0,M,2014
Abdur Rahaman,Bharatiya Momin Front,0,12th Pass,51,627100,KATIHAR,35000,0,M,2014
Ashok Ku Bhagat,IND,1,Literate,42,1196345,KATIHAR,0,0,M,2014
Ashok Kumar,IND,0,12th Pass,44,94891,KATIHAR,0,0,M,2014
Baleshwar Marandi,JMM,0,Graduate,60,465871,KATIHAR,0,0,M,2014
Bibhaker Jha,AAP,1,Graduate,37,373035,KATIHAR,0,0,M,2014
Dr. Ram Prakash Mahto,JD(U),5,Doctorate,62,11829625,KATIHAR,1231046,0,M,2014
Fulmani Hembram,Bharat Vikas Morcha,0,8th Pass,33,753000,KATIHAR,0,0,M,2014
Kanhai Mandal,IND,0,8th Pass,38,579677,KATIHAR,0,0,M,2014
Mahesh Mandal,Bahujan Mukti Party,3,Doctorate,34,1821376,KATIHAR,0,0,M,2014
Md. Iqbal Ahmad,Samajwadi Janata Party (Rashtriya),2,Others,33,2827500,KATIHAR,0,0,M,2014
Md. Tariq Anwar,IND,0,12th Pass,28,113000,KATIHAR,0,0,M,2014
Mehboob Alam,CPI(ML)L,11,12th Pass,57,1215962,KATIHAR,0,0,M,2014
Mohammad Hamid Mobarak,AITC,0,Graduate,39,2677359,KATIHAR,0,0,M,2014
Nalini Mandal,IND,0,12th Pass,48,351119,KATIHAR,0,0,M,2014
Nikhil Kumar Choudhary,BJP,0,Graduate,68,25225976,KATIHAR,408966,0,M,2014
Raj Kumar Mandal,IND,0,Post Graduate,48,691300,KATIHAR,0,0,M,2014
Sanjay Singh,IND,0,Post Graduate,44,10830016,KATIHAR,202000,0,M,2014
Satya Narayan Bhagat,Proutist Sarva Samaj,0,Graduate,68,1062200,KATIHAR,0,0,M,2014
Shivendra Kumar,BSP,0,Post Graduate,40,495400,KATIHAR,118033,0,M,2014
Suresh Rai,Rashtravadi Janata Party,0,8th Pass,40,672000,KATIHAR,80000,0,M,2014
Choudhary Mahboob Ali Kaiser,LJP,1,Graduate,47,66569502,KHAGARIA,0,0,M,2014
Brahmdev Mukhiya,Rashtriya Naujawan Dal,2,Literate,58,4472000,KHAGARIA,0,0,M,2014
Dineshchandra Yadav,JD(U),0,Others,57,17668299,KHAGARIA,0,0,M,2014
Dr. Swami Vivekanand,AAP,2,Doctorate,50,9890017,KHAGARIA,900000,0,M,2014
Ganesh Mukhiya Nishad,Sarvajan Kalyan Loktantrik Party,1,12th Pass,33,6829298,KHAGARIA,0,0,M,2014
Jagdish Chandra Bashu,CPI(M),0,12th Pass,43,7069526,KHAGARIA,237000,0,M,2014
Krishana Kumari Yadav,RJD,4,Graduate,39,78352261,KHAGARIA,1850000,0,M,2014
Makkhan Sah,Samajwadi Janata Party (Rashtriya),0,Graduate,39,6470304,KHAGARIA,0,0,M,2014
Rajeev Ranjan,Lok Dal,2,12th Pass,31,4247500,KHAGARIA,0,0,M,2014
Rajesh Kumar,BSP,0,Graduate,36,10016038,KHAGARIA,0,0,M,2014
Satish Prasad Singh,IND,1,Graduate,41,3462200,KHAGARIA,25000,0,M,2014
Tej Bahadur Singh,Proutist Sarva Samaj,0,Graduate,71,2864479,KHAGARIA,0,0,M,2014
Umesh Chandra Bharati,IND,0,Literate,53,565000,KHAGARIA,0,0,M,2014
Mohammad Asrarul Haque,INC,2,Post Graduate,67,4616629,KISHANGANJ,0,0,M,2014
Akhtarul Iman,JD(U),1,Post Graduate,48,4907533,KISHANGANJ,820788,0,M,2014
Alimuddin Ansari,AAP,0,10th Pass,59,5210680,KISHANGANJ,0,0,M,2014
Chitranjan Singh,IND,0,10th Pass,51,630000,KISHANGANJ,20000,0,M,2014
Chote Lal Mahto,IND,0,5th Pass,37,334500,KISHANGANJ,0,0,M,2014
Dr Dilip Kumar Jaiswal,BJP,0,Doctorate,50,32949581,KISHANGANJ,5793000,0,M,2014
Manowar Alam,Janta Dal Rashtravadi,0,12th Pass,39,465813,KISHANGANJ,215,0,M,2014
Md.Naushad,BSP,0,8th Pass,35,370000,KISHANGANJ,316000,0,M,2014
Mohammad Gulab Siddiqui,Loktantrik Janata Party (Secular),0,8th Pass,44,296809,KISHANGANJ,0,0,M,2014
Mohammad Wasiqur Rahman,IUML,2,12th Pass,36,4830500,KISHANGANJ,166000,0,M,2014
Rajesh Ranjan Urf Pappu Yadav,RJD,24,Graduate,46,81242966,MADHEPURA,956306,0,M,2014
Anwar Alam,AAP,0,Others,38,770380,MADHEPURA,0,0,M,2014
Bhikha Paswan,Bharat Vikas Morcha,0,Graduate,51,5819278,MADHEPURA,103000,0,M,2014
Chandra Shekhar Yadav,Bahujan Mukti Party,2,Graduate,37,16557292,MADHEPURA,3400000,0,M,2014
Guljar Kumar,BSP,0,Graduate,31,35,MADHEPURA,0,0,M,2014
Mina Devi,IND,0,Literate,38,18581662,MADHEPURA,400000,0,M,2014
Mohammad Arshad Hussain,Peace Party,0,Others,38,1442500,MADHEPURA,0,0,M,2014
Prasanna Kumar,IND,0,Post Graduate,61,9574085,MADHEPURA,0,0,M,2014
Rajo Sah,IND,0,Literate,34,3490200,MADHEPURA,650000,0,M,2014
Sajan Kumar Jha,Jai Maha Bharath Party,0,Graduate,42,3228000,MADHEPURA,25000,0,M,2014
Sharad Yadav,JD(U),0,Graduate Professional,66,54676401,MADHEPURA,0,0,M,2014
Vijay Kumar Singh,BJP,4,Graduate,56,16210739,MADHEPURA,1598602,0,M,2014
Hukum Deo Narayan Yadav,BJP,0,Graduate,77,77978890,MADHUBANI,0,0,M,2014
Abdul Bari Siddiqui,RJD,3,12th Pass,62,16343817,MADHUBANI,2718221,0,M,2014
Anirud Sahu,Samajwadi Janata Party (Rashtriya),0,12th Pass,41,586000,MADHUBANI,800,0,M,2014
Dhruv Narayan Karn,CPI(ML)L,7,10th Pass,54,2262312,MADHUBANI,21250,0,M,2014
Faiz Ahmad,Jai Prakash Janata Dal,2,Post Graduate,34,326684,MADHUBANI,0,0,M,2014
Harinarayan Yadav,BSP,1,10th Pass,49,12547000,MADHUBANI,25000,0,M,2014
Kumari Rita,SHS,0,Graduate,34,2555000,MADHUBANI,0,0,M,2014
Neeraj Pathak,AAP,0,Graduate,30,13763263,MADHUBANI,120000,0,M,2014
Professor Gulam Gaus,JD(U),1,Post Graduate,52,10324645,MADHUBANI,403333,0,M,2014
Ratneshwar Jha,Akhil Bhartiya Mithila Party,0,12th Pass,50,1214000,MADHUBANI,0,0,M,2014
Vijay Kumar,IND,0,12th Pass,26,51300,MADHUBANI,0,0,M,2014
Janardan Singh Sigriwal,BJP,4,Graduate,50,4795223,MAHARAJGANJ,10000,0,M,2014
Brinda Pathak,IND,0,Graduate Professional,68,7890000,MAHARAJGANJ,0,0,M,2014
Byas Manjhi,Bahujan Mukti Party,0,Graduate Professional,43,11782000,MAHARAJGANJ,0,0,M,2014
Gopal Prasad,IND,0,Graduate Professional,63,2518000,MAHARAJGANJ,0,0,M,2014
Manoranjan Singh,JD(U),10,8th Pass,54,35183301,MAHARAJGANJ,2311198,0,M,2014
Nagendra Prasad,BSP,0,Post Graduate,49,10969151,MAHARAJGANJ,245000,0,M,2014
Prabhu Nath Singh,RJD,8,12th Pass,61,31380728,MAHARAJGANJ,127066,0,M,2014
Rina Rani,AAP,1,Graduate,40,17836000,MAHARAJGANJ,0,0,M,2014
Shiv Nath Mahto,IND,2,Literate,57,2523555,MAHARAJGANJ,13741,0,M,2014
Umashankar Tiwari,IND,0,Graduate Professional,38,961700,MAHARAJGANJ,25000,0,M,2014
Veena Devi,LJP,0,8th Pass,41,31162836,MUNGER,0,0,M,2014
Dr. Ashok Kumar Singh,SHS,0,Doctorate,0,2054194,MUNGER,0,0,M,2014
Kamleshwari Mandal,BSP,0,Others,63,3065084,MUNGER,0,0,M,2014
Muzaffar Fakhruddin,IND,0,Graduate,54,1883100,MUNGER,0,0,M,2014
Pragati Mehta,RJD,0,Graduate,33,6422050,MUNGER,0,0,M,2014
Pramod Kumar,SUCI(C),0,Post Graduate,47,1741914,MUNGER,0,0,M,2014
Rajiv Ranjan Singh Alias Lalan Singh,JD(U),1,Graduate,60,55757926,MUNGER,3512083,0,M,2014
Ram Badan Rai,SP,0,Post Graduate,59,23860981,MUNGER,1000000,0,M,2014
Sandeep,AAP,0,Graduate Professional,28,5790000,MUNGER,750000,0,M,2014
Shankar Prasad,Bahujan Mukti Party,2,Graduate,49,40253000,MUNGER,0,0,M,2014
Sharwan Kumar Anand,IND,0,Post Graduate,43,5750,MUNGER,0,0,M,2014
Suryoday Paswan,Sankhyanupati Bhagidari Party,0,Graduate,40,627000,MUNGER,0,0,M,2014
Uchit Kumar,IND,1,12th Pass,0,176574,MUNGER,0,0,M,2014
Ajay Nishad,BJP,0,Graduate,45,145712654,MUZAFFARPUR,989888,0,M,2014
Ajitansh Gaur,IND,0,Post Graduate,25,23000,MUZAFFARPUR,0,0,M,2014
Akhilesh Prasad Singh,INC,0,Doctorate,44,216275454,MUZAFFARPUR,0,0,M,2014
Akshay Verma,Sarvajan Kalyan Loktantrik Party,0,Post Graduate,27,47845505,MUZAFFARPUR,14949074,0,M,2014
Ashok Kumar Jha,SHS,0,10th Pass,48,10460864,MUZAFFARPUR,600000,0,M,2014
Ashok Kumar Singh,SUCI(C),1,10th Pass,62,13317000,MUZAFFARPUR,120200,0,M,2014
Bijendra Chaudhary,JD(U),6,Graduate,47,17245873,MUZAFFARPUR,398572,0,M,2014
Deepak Kumar,IND,0,8th Pass,32,70700,MUZAFFARPUR,0,0,M,2014
Devendra Rakesh,Bajjikanchal Vikas Party,2,Post Graduate,63,45899000,MUZAFFARPUR,256000,0,M,2014
Kamlesh Chaudhary,IND,0,Literate,41,906530,MUZAFFARPUR,50000,0,M,2014
Kunal Priyadarshi,Rashtriya Krantikari Samajwadi Party,0,Graduate,29,2550000,MUZAFFARPUR,0,0,M,2014
Madhur Sheel,Jai Maha Bharath Party,0,Graduate,45,5226000,MUZAFFARPUR,500000,0,M,2014
Mahesh Paswan,IND,0,Graduate,46,540000,MUZAFFARPUR,0,0,M,2014
Mahesh Rai,Bahujan Mukti Party,0,8th Pass,54,39573603,MUZAFFARPUR,77600,0,M,2014
Md Anwarul Haque,IND,1,8th Pass,41,110000,MUZAFFARPUR,25000,0,M,2014
Mohammad Taiyab,IND,0,8th Pass,43,2630000,MUZAFFARPUR,573000,0,M,2014
Nageshwar Prasad Singh,IND,0,8th Pass,49,1016500,MUZAFFARPUR,25000,0,M,2014
Nawal Kishor Jha,Samajwadi Janata Party (Rashtriya),0,Graduate,36,850000,MUZAFFARPUR,50000,0,M,2014
Nilu Singh,"Proutist Bloc, India",0,12th Pass,41,1065960,MUZAFFARPUR,0,0,M,2014
Pankaj Kumar Srivastava,Jai Prakash Janata Dal,0,12th Pass,44,65000,MUZAFFARPUR,0,0,M,2014
Prabhat Suman ,AAP,0,Graduate Professional,33,6846500,MUZAFFARPUR,7000,0,M,2014
Raghvendra Pratap Singh,Rajnaitik Vikalp Party,0,Literate,25,96000,MUZAFFARPUR,0,0,M,2014
Rajeev Ranjan,BSP,1,Post Graduate,34,3860000,MUZAFFARPUR,0,0,M,2014
Rajesh Kumar,AIFB,0,Others,26,190000,MUZAFFARPUR,0,0,M,2014
Ravi Shankar Paswan,IND,0,Graduate,48,16033000,MUZAFFARPUR,0,0,M,2014
Rupesh Kumar Kuar,IND,0,Literate,31,140000,MUZAFFARPUR,0,0,M,2014
Shatrudhan Sahni,CPI(ML)L,4,5th Pass,42,817500,MUZAFFARPUR,50000,0,M,2014
Shravan Kumar Jha,IND,0,Graduate,30,1098546,MUZAFFARPUR,0,0,M,2014
Suresh Kumar,IND,1,Graduate,45,4654200,MUZAFFARPUR,912000,0,M,2014
Kaushlendra Kumar,JD(U),0,12th Pass,49,11812717,NALANDA,477000,0,M,2014
Ashish Ranjan Sinha,INC,0,Graduate,64,94210202,NALANDA,0,0,M,2014
Awadh Kumar,IND,0,Graduate,40,6189466,NALANDA,0,0,M,2014
Bhola Sao,Krantikari Vikas Dal,0,Literate,52,140000,NALANDA,0,0,M,2014
Dhirendra Kumar,Janvadi Party(Socialist),0,10th Pass,32,250000,NALANDA,0,0,M,2014
Kaushal Kumar Kaushalendra Sinha Alias Bharat Manas,IND,1,12th Pass,40,3049003,NALANDA,0,0,M,2014
Lallu Ram,Bahujan Mukti Party,0,Literate,44,61000,NALANDA,0,0,M,2014
Lata Sinha,IND,0,Post Graduate,38,2330367,NALANDA,64000,0,M,2014
Mahesh Paswan,Bharat Bhrashtachar Mitao Party,1,Graduate,40,1930000,NALANDA,0,0,M,2014
Munna Prasad,IND,0,10th Pass,46,350000,NALANDA,0,0,M,2014
Naresh Prasad Singh,IND,0,Graduate,43,11387000,NALANDA,2599000,0,M,2014
Nayeb Ali,AITC,0,Doctorate,43,1896783,NALANDA,0,0,M,2014
Niraj Sharma,Rajnaitik Vikalp Party,0,Literate,58,11399238,NALANDA,0,0,M,2014
Parnav Prakash,AAP,0,Graduate Professional,0,58483543,NALANDA,16000000,0,M,2014
Pramod Kumar Nirala,Sankhyanupati Bhagidari Party,0,Graduate,45,7929000,NALANDA,67000,0,M,2014
Rakesh Ranjan Sinha,RPI(A),0,Graduate,35,3748727,NALANDA,16599,0,M,2014
Sanjay Kumar,BSP,0,10th Pass,36,920000,NALANDA,25000,0,M,2014
Satya Nand Sharma,LJP,0,Literate,64,12818500,NALANDA,0,0,M,2014
Shailesh Kumar,Ati Picchara party,0,Graduate Professional,51,4445777,NALANDA,0,0,M,2014
Shashi Yadav,CPI(ML)L,1,Graduate,40,14000,NALANDA,0,0,M,2014
Vishwajit Kumar,IND,0,12th Pass,25,3409263,NALANDA,0,0,M,2014
Yogendra Prasad,Bharatiya Inqalab Party,0,12th Pass,65,5874500,NALANDA,25000,0,M,2014
Giriraj Singh,BJP,1,Graduate,61,50054771,NAWADA,0,0,M,2014
 Kaushal Yadav,JD(U),8,Post Graduate,44,154566136,NAWADA,2604969,0,M,2014
Aditya Narayan,IND,0,Graduate,32,15770000,NAWADA,0,0,M,2014
Ajad Geeta Prasad Sharma,IND,0,12th Pass,48,7080000,NAWADA,0,0,M,2014
Ashok Kumar,Rajnaitik Vikalp Party,1,Literate,37,3116000,NAWADA,0,0,M,2014
Manish Kumar,IND,2,Graduate,40,1798755,NAWADA,428000,0,M,2014
Mohammad Jahid Husain,AITC,0,Graduate,42,1657448,NAWADA,0,0,M,2014
Parmendra Kumar Yadav,Bharatiya Ekta Dal,0,12th Pass,34,1030800,NAWADA,0,0,M,2014
Rajballabh Prasad,RJD,3,10th Pass,52,83137973,NAWADA,1387290,0,M,2014
Rajendra Singh,AAP,0,Graduate Professional,58,1455858,NAWADA,858745,0,M,2014
Safdar Ismail,IND,0,Graduate Professional,36,8605000,NAWADA,25000,0,M,2014
Satish Kumar,IND,0,10th Pass,50,11610000,NAWADA,0,0,M,2014
Sohail Anwer,BSP,0,Literate,48,415000,NAWADA,85000,0,M,2014
Sulochana Devi,IND,0,Literate,39,7275000,NAWADA,800000,0,M,2014
Surendra Rajvanshi,SP,0,Graduate,35,3385189,NAWADA,0,0,M,2014
Umakant Rahi,Shoshit Samaj Dal,0,Post Graduate,42,2610034,NAWADA,0,0,M,2014
Vijay Ram,Moolniwasi Samaj Party,1,10th Pass,42,221500,NAWADA,0,0,M,2014
Dr. Sanjay Jayaswal,BJP,2,Post Graduate,49,35941299,PASCHIM CHAMPARAN,6197804,0,M,2014
Anand Kaushal Singh,AAP,0,12th Pass,34,1506647,PASCHIM CHAMPARAN,506875,0,M,2014
Anand Prasad,IND,0,10th Pass,36,13570606,PASCHIM CHAMPARAN,248000,0,M,2014
Mohan Kumar,IND,0,Post Graduate,35,1389158,PASCHIM CHAMPARAN,0,0,M,2014
Nafis Ahamad,IND,1,10th Pass,42,1517017,PASCHIM CHAMPARAN,49000,0,M,2014
Prabhuraj Narayan Rao,CPI(M),0,Graduate,59,5361400,PASCHIM CHAMPARAN,45000,0,M,2014
Raghunath Jha,RJD,0,12th Pass,68,19513745,PASCHIM CHAMPARAN,4508715,0,M,2014
Ratan Kumar Sarkar,IND,0,12th Pass,61,3271200,PASCHIM CHAMPARAN,0,0,M,2014
Said Irsad Akhtar,IND,0,12th Pass,37,546818,PASCHIM CHAMPARAN,0,0,M,2014
Saiyad Samim Akhtar,BSP,2,10th Pass,57,12400000,PASCHIM CHAMPARAN,0,0,M,2014
Sri Praksh Jha,JD(U),1,12th Pass,61,925480118,PASCHIM CHAMPARAN,552293138,0,M,2014
Sunil Kumar Rao,CPI(ML)L,3,Graduate,41,9659800,PASCHIM CHAMPARAN,341000,0,M,2014
Ram Kripal Yadav,BJP,1,Graduate,53,13989431,PATALIPUTRA,2100000,0,M,2014
Avinash Kumar,Bharatiya Jan Kranti Dal (Democratic),0,Post Graduate,53,1520412,PATALIPUTRA,56797,0,M,2014
Chandra Dev Prasad,Bahujan Mukti Party,0,Post Graduate,41,479600,PATALIPUTRA,0,0,M,2014
